,SalePrice
1216,112000
339,155000
1057,248000
482,155000
529,200624
857,174000
1214,134500
470,212000
383,76000
1156,179900
1000,82000
139,231500
271,241500
654,350000
643,152000
68,80000
1281,180000
384,240000
735,163000
37,153000
1284,169000
359,280000
1167,173000
1256,301500
1316,295493
593,140000
855,127000
1200,116050
174,184000
334,192000
1378,83000
305,305900
491,133000
910,154300
666,129000
649,84500
1185,104900
1303,232000
695,176000
60,158000
1255,127500
445,127500
1219,91500
326,324000
414,228000
104,169500
1080,145000
756,212000
1030,160000
533,39300
907,250000
965,178900
647,155000
1396,137500
418,126000
304,295000
908,131000
440,555000
354,140000
829,147400
22,230000
1254,165400
684,221000
230,148000
274,124500
461,155000
1053,144500
611,148000
708,179540
1403,105000
151,372402
1184,186700
514,96500
567,214000
1415,122500
1371,165500
172,239000
810,181000
1,181500
486,156000
229,192500
85,260000
722,124500
495,34900
734,108000
471,190000
1107,274725
1346,262500
80,193500
1401,193879
1336,135000
1429,192140
157,269500
1164,194000
1114,117000
1162,129000
450,110000
745,299800
1026,167500
839,130500
1213,145000
1093,146000
177,172500
730,236500
36,145000
903,240000
1367,127000
1299,154000
24,154000
712,189000
133,220000
1099,157000
950,129000
1272,137000
365,147000
1144,80000
341,82000
483,164000
1262,161500
945,124900
211,186000
562,108000
665,230500
723,135000
1359,315000
1124,163900
859,250000
300,157000
897,142953
1362,104900
282,207500
358,130000
1064,154000
194,127000
52,110000
428,195400
512,129900
882,178000
786,139000
1434,174000
1446,240000
657,149000
411,145000
861,131500
1175,285000
1009,102000
912,88000
373,123000
20,325300
800,200000
152,190000
906,255000
1109,280000
1007,88000
264,73000
1427,119000
798,485000
41,170000
789,187500
1138,196000
1134,169000
345,140200
1046,556581
539,272000
699,196000
280,228500
173,163000
890,122900
904,125500
528,86000
815,224900
439,110000
774,395000
51,114500
994,337500
425,135000
616,183200
564,268000
1374,250000
1448,92000
879,136500
481,374000
969,140000
811,144500
1181,392500
729,103000
1163,108959
1121,212900
1352,134900
1457,142125
1054,255000
696,89000
30,40000
204,110000
1442,121000
668,168000
180,177000
886,145000
870,109500
1277,197900
420,206300
1250,244000
199,274900
827,189000
920,201000
821,93000
1370,105000
1430,143750
1063,110500
213,156000
960,116500
363,118000
817,271000
255,230000
34,277500
106,100000
73,144900
510,164900
1008,240000
1295,138500
1108,181000
812,55993
995,121600
999,206000
997,185000
374,219500
6,307000
1002,232000
226,290000
397,169500
437,119000
419,142000
196,311872
520,106250
378,394432
1436,394617
442,162900
820,183000
82,245000
521,150000
591,451950
991,168000
1055,180000
612,261500
1351,171000
287,88000
335,228950
763,337000
416,149500
689,194700
576,145000
850,131500
1137,94000
867,129000
1111,205000
832,237000
1391,123000
511,202665
1354,235000
1271,185750
691,755000
949,197500
1329,176500
589,79500
744,180000
479,89471
667,193500
619,305000
909,174000
707,254000
1016,203000
236,185500
399,241000
95,185000
284,179200
441,118000
554,284000
492,172785
155,79000
1082,192000
658,97500
477,380000
1207,200000
887,135500
1311,203000
101,178000
993,173900
1301,177500
140,115000
873,133000
410,60000
79,110000
858,152000
253,158000
249,277000
835,128000
205,180500
1157,230000
393,100000
716,159500
88,85000
242,79000
721,143000
349,437154
513,134000
808,159950
250,76500
838,144000
1382,112000
1083,160000
1171,163000
1235,138887
1322,190000
1439,191000
1330,227000
10,129500
276,201000
193,130000
940,150900
1357,149900
504,147000
924,207500
1386,136000
434,81000
1139,144000
443,172500
45,319900
526,132000
803,582933
385,192000
1117,130000
1313,333168
845,171000
53,385000
952,133900
342,87500
132,150750
1049,84900
784,128000
672,165000
1166,245350
195,148500
1218,80500
922,169990
1153,120500
869,236000
508,161000
580,181900
776,221500
1004,181000
1194,158000
147,222500
238,318000
807,223500
474,251000
57,196500
285,164700
1361,260000
197,235000
138,230000
646,98300
23,129900
1044,278000
1203,213000
1435,120500
92,163500
822,225000
891,172500
163,103200
1131,93500
448,119500
1310,335000
1197,144000
531,128000
700,312500
1172,171900
1140,139000
1390,124000
782,187100
1145,149000
216,210000
302,205000
176,211000
114,259500
1324,147000
484,132500
911,143500
429,175000
386,81000
1178,154900
181,200100
935,79900
1191,174000
277,141000
942,150000
292,131000
1208,140000
795,171000
1379,58500
805,227680
842,174900
1234,130000
739,190000
1293,162900
1226,214000
675,148500
546,210000
1340,123000
1014,119200
9,118000
989,197000
337,214000
1331,132500
408,280000
76,135750
235,89500
1238,142500
248,180000
33,165500
628,135000
819,224000
1306,202500
240,262500
312,119900
1201,197900
705,55000
1179,93000
1202,117000
1416,340000
8,129900
1389,235000
192,192000
353,105900
1086,83500
1407,125500
444,210000
706,302000
294,167000
1334,125000
1062,90000
487,175000
988,195000
569,135960
499,120000
1286,143000
49,127000
622,135000
12,144000
1120,118400
751,162000
1092,136500
169,228000
1278,237000
548,125000
585,369900
496,430000
430,85400
946,143000
883,118500
259,97000
530,175000
1150,124000
1133,239500
1314,119000
702,361919
252,173000
458,161000
1036,315500
602,220000
1422,274970
1123,118000
1132,117500
260,176000
1189,189000
322,301000
758,179400
94,204750
828,185000
635,200000
473,440000
629,168500
1236,175500
709,109900
1173,200500
933,190000
83,126500
505,124500
664,423000
831,151000
905,128000
457,256000
1143,80000
357,134000
1056,185850
161,412500
116,139000
1115,318000
1222,143000
631,209500
19,139000
1217,229456
485,147000
263,130000
792,269790
1375,239000
608,359100
167,325624
951,119900
295,142500
1196,219210
423,315000
846,213000
584,133000
549,263000
321,354000
100,205000
1274,139000
1090,92900
592,138000
1349,122000
84,168500
976,85500
1296,155000
1394,281213
720,275000
931,117500
754,156000
42,144000
669,137500
122,136000
135,174000
692,335000
768,216837
936,184900
996,136500
578,146000
547,129500
571,120000
767,160000
293,235000
1193,165000
772,107000
615,137500
1348,215000
726,222000
315,188500
99,128950
590,185900
1229,127000
1187,262000
804,118000
880,157000
833,167000
415,181134
237,194500
1363,156932
108,115000
770,134900
743,175000
687,148800
1338,200000
1040,155000
893,165000
438,90350
1319,111000
913,145000
673,257500
698,138500
899,135000
915,75000
254,145000
750,96500
500,113000
1291,119500
794,194500
962,155000
519,234000
141,260000
435,212000
1326,79000
769,538000
183,200000
517,265000
614,75500
1445,157900
834,139950
878,148000
1089,197000
568,316600
1269,144000
1035,84000
545,229000
638,85000
639,264561
572,224500
778,144000
379,179000
1209,290000
184,127000
309,360000
198,104000
579,131500
1424,142000
262,151000
1042,196000
1112,129900
1298,160000
1455,210000
1421,136500
532,107500
220,204900
973,182000
844,153900
398,67000
389,426000
1071,154000
814,116000
159,320000
47,249700
609,118500
1380,237500
790,160200
1315,206900
166,190000
1074,194000
1257,99900
1105,325000
681,159434
1428,182900
1003,136905
623,168500
3,140000
930,201000
351,190000
1067,167900
1432,186500
984,126000
1290,180500
1220,115000
456,98000
536,188000
791,146800
594,110000
65,317000
186,173000
588,143000
460,263435
1241,248328
1239,265900
788,107900
895,140000
272,290000
1005,149900
200,140000
311,132000
1031,197000
28,207500
1245,178000
164,152000
581,253293
563,185000
874,66500
97,94750
1384,125500
937,253000
1456,266500
130,226000
836,153500
637,93000
402,108000
1094,129000
367,165000
96,214000
352,95000
489,86000
1353,410000
1333,125500
224,386250
802,189000
303,149900
824,232600
943,143000
983,255900
663,137500
1118,140000
1151,149900
741,142000
1265,183900
1268,381000
1364,144152
110,136900
1328,256000
21,139400
170,128500
1174,239000
344,85000
1160,146000
939,244400
72,185000
1190,168000
449,120000
215,134450
388,191000
1285,132500
697,123500
105,250000
1101,119500
840,140000
1320,156500
566,325000
91,98600
610,313000
740,132000
1051,200141
868,169000
771,102000
626,139900
1305,325000
1116,184100
243,120000
853,158000
1259,151000
156,109500
317,270000
1029,118000
1128,215000
1129,140000
967,135000
466,167000
1227,147000
538,158000
1041,173000
1264,181000
1024,287000
497,184000
86,174000
396,123000
257,220000
1302,290000
849,187000
231,403000
462,62383
1339,128500
1343,177000
1212,113000
407,177000
1028,105000
1325,55000
296,152000
1409,230000
1355,170000
478,297000
1001,86000
503,289000
107,115000
765,264132
934,242000
377,340000
70,244000
390,119000
424,139000
333,207000
728,110000
641,226000
862,152000
1059,220000
1318,275000
154,125000
1231,132500
600,275000
1260,181000
136,143000
50,177000
864,250580
753,275500
1161,224000
1252,130000
241,110500
757,158900
98,83000
1308,147000
451,280000
583,325000
405,150000
956,124000
634,144000
694,141500
61,101000
400,245500
162,220000
59,124900
1011,100000
306,225000
1027,293077
316,260000
759,290000
1199,148000
676,87000
1070,135000
651,108000
119,163990
210,98000
509,124500
523,184750
266,185000
570,142600
1307,138000
129,150000
279,192000
522,159000
81,153500
926,285000
888,268000
14,157000
469,187000
178,501837
947,270000
620,67000
1433,160000
111,180000
677,109500
468,250000
1038,97000
214,161750
1141,197500
327,145250
160,162500
476,208900
1450,287090
26,134800
1165,233170
1377,117000
182,120000
1039,80000
25,256300
275,205000
1192,125000
901,153000
1158,235128
1073,159500
885,328900
38,109000
848,240000
1154,201800
1408,215000
586,130000
1266,122000
382,213500
465,178740
343,266000
1342,228500
66,180000
338,202500
642,345000
289,153575
433,181000
148,141000
852,164000
686,227875
227,106000
724,320000
149,115000
975,165000
1125,115000
605,205000
587,137000
737,239900
488,160000
1170,171000
659,167000
1047,145000
113,217000
1186,95000
1321,72500
308,82500
1418,223000
265,175500
320,342643
560,121500
1404,275000
851,215000
63,140000
889,149500
144,125000
219,167240
1412,257000
837,100000
928,236500
1360,189000
650,205950
58,438780
1283,139000
2,223500
208,277000
1419,179900
599,151000
938,239799
251,235000
391,215000
1130,135000
541,248000
1317,208900
959,155000
17,90000
542,213250
